session,n_groups,train_rms_med_px,test_rms_med_px,test_rms_generic_med_px,improvement_x,iod_mean_mm
01266,2,0.5,1.07,1.72,1.6,89.5
01269,1,0.7,1.48,3.11,2.1,89.1
01273,1,0.83,1.37,2.11,1.5,89.8
01278,2,0.46,0.93,1.37,1.5,90.1
01279,1,0.68,1.39,1.95,1.4,90.3
01281,2,0.62,1.16,2.42,2.1,89.6
01282,3,0.55,1.1,2.03,1.8,90.1
01285,1,0.69,1.55,2.16,1.4,91.0
01286,1,0.58,1.23,1.95,1.6,90.7
01295,3,0.83,1.33,1.81,1.4,90.9
01297,3,0.49,1.26,2.05,1.6,90.3
01298,3,0.38,0.71,2.69,3.8,89.0
01300,3,0.55,1.12,1.98,1.8,90.1
01301,1,0.48,1.04,2.47,2.4,90.6
01303,2,0.77,1.52,1.98,1.3,90.8
01315,3,0.69,1.17,3.05,2.6,89.7
01319,3,0.39,0.61,1.63,2.7,92.0
01323,1,0.35,0.78,1.13,1.4,91.9
01326,3,0.27,0.69,1.57,2.3,90.5
01327,3,0.47,0.92,2.13,2.3,90.0
01328,3,0.36,0.66,2.07,3.1,89.5
01329,3,0.39,0.7,2.14,3.1,90.3
01330,2,0.57,1.37,2.82,2.1,89.6
01331,2,0.88,1.75,1.74,1.0,89.8
01333,1,0.59,1.2,2.34,2.0,89.4
01340,2,0.93,1.65,3.03,1.8,89.7
01347,3,0.39,1.04,2.07,2.0,90.6
01348,3,0.49,1.36,1.46,1.1,90.5
01349,3,0.69,1.25,2.35,1.9,90.9
01351,2,0.56,1.16,2.38,2.0,89.8
01352,3,0.7,1.37,1.89,1.4,89.7
01353,3,0.26,0.46,1.21,2.6,91.9
01354,2,0.6,1.33,2.49,1.9,90.8
01356,1,0.53,0.89,1.61,1.8,89.6
01357,2,0.78,1.65,2.6,1.6,89.9
01358,3,0.4,0.77,2.46,3.2,90.1
01360,2,0.73,1.41,2.01,1.4,89.8
01362,1,0.89,1.96,1.29,0.7,90.4
01366,1,0.73,1.26,2.39,1.9,89.8
01367,4,0.41,0.78,2.36,3.0,89.9
01368,3,0.26,0.41,3.35,8.2,88.9
01370,1,1.02,1.62,1.73,1.1,91.2
01373,4,0.57,0.84,2.16,2.6,91.1
01375,3,0.71,1.25,2.88,2.3,89.5
01376,1,1.08,1.82,2.99,1.6,90.0
01377,2,0.61,1.14,3.75,3.3,90.1
01379,3,0.6,1.18,2.5,2.1,89.8
01380,1,0.67,1.21,2.45,2.0,90.3
01382,1,0.29,0.62,2.17,3.5,89.6
01383,1,0.67,1.69,1.71,1.0,90.9
01384,4,0.2,0.5,2.22,4.4,88.9
01386,2,0.47,1.07,1.7,1.6,91.1
01387,1,0.88,1.99,2.91,1.5,90.0
01388,3,0.26,0.5,1.69,3.4,91.0
01389,3,0.49,1.28,1.61,1.3,90.5
01390,4,0.26,0.59,1.96,3.3,90.5
01391,1,0.6,1.13,1.82,1.6,91.7
01396,3,0.39,0.73,1.7,2.3,90.0
01400,3,0.35,0.72,1.03,1.4,91.3
01404,3,0.45,0.89,2.29,2.6,90.1
01415,1,0.45,0.99,1.34,1.4,90.8
01420,3,0.41,0.76,1.82,2.4,90.2
01423,3,0.72,1.11,1.67,1.5,91.4
01425,2,0.68,1.32,1.91,1.4,90.1
01428,3,0.18,0.37,4.1,10.9,88.7
01430,3,0.64,1.53,2.62,1.7,90.2
01432,1,0.54,0.93,1.72,1.9,89.7
01434,1,0.66,1.02,2.28,2.2,90.1
01435,2,0.7,1.36,1.68,1.2,90.2
01438,2,0.43,1.06,1.91,1.8,89.5
01443,4,0.67,1.35,3.55,2.6,88.6
01446,1,0.38,0.66,1.54,2.3,90.1
01448,2,0.81,1.5,2.22,1.5,90.0
01451,3,0.37,0.99,2.15,2.2,90.1
01454,3,0.65,1.45,2.86,2.0,89.5
01456,2,0.44,0.86,1.47,1.7,90.4
01457,3,0.6,1.27,2.77,2.2,89.2
01460,3,0.68,1.2,2.26,1.9,90.8
01470,3,0.84,1.44,2.22,1.5,90.1
01471,3,0.43,0.68,2.59,3.8,90.3
01472,2,0.51,0.99,2.23,2.3,90.1
01473,2,0.5,0.88,3.06,3.5,89.8
01474,3,0.62,1.41,1.75,1.2,92.0
01475,3,0.53,0.91,1.99,2.2,89.6
01477,2,0.54,1.02,1.77,1.7,91.2
01478,3,0.44,0.87,1.75,2.0,90.5
01481,1,0.46,1.05,2.21,2.1,89.8
01486,2,0.51,1.0,1.69,1.7,89.8
01487,1,0.63,0.89,3.67,4.1,89.0
01488,3,0.33,0.68,1.88,2.8,89.9
01491,2,0.52,0.91,2.16,2.4,90.4
01492,1,0.39,0.67,2.03,3.0,90.9
01496,3,0.39,0.68,2.37,3.5,90.5
01499,2,0.36,0.77,3.87,5.0,89.1
01506,3,0.38,0.81,1.58,1.9,91.4
01508,3,0.26,0.51,2.94,5.7,89.1
01509,3,0.49,0.94,2.7,2.9,89.4
01510,2,0.69,1.19,2.04,1.7,89.7
01511,3,0.51,0.94,1.5,1.6,90.5
01514,2,0.66,1.1,2.53,2.3,89.2
01516,3,0.48,1.01,3.32,3.3,90.2
01517,3,0.41,0.77,2.17,2.8,89.4
01519,1,0.64,1.38,2.55,1.8,91.9
01523,1,0.65,1.39,2.82,2.0,89.9
01524,1,0.6,1.25,2.58,2.1,89.5
01525,1,0.83,1.53,3.18,2.1,88.2
01528,1,1.14,1.85,2.88,1.6,89.4
01531,2,0.66,1.16,1.92,1.7,90.0
01532,3,0.63,1.23,2.12,1.7,89.8
01534,1,0.71,1.56,1.76,1.1,89.8
01540,3,0.34,0.67,2.14,3.2,90.2
01544,3,0.58,1.27,2.83,2.2,90.2
01546,1,0.95,1.51,1.96,1.3,90.0
01553,1,0.46,1.02,4.69,4.6,89.3
01556,2,0.55,1.33,3.52,2.6,89.1
01574,3,0.45,1.18,1.5,1.3,90.8
01581,3,0.68,1.5,3.13,2.1,90.6
01583,1,0.85,1.99,3.06,1.5,90.2
01584,2,1.07,1.59,1.77,1.1,90.2
01602,2,0.85,1.48,2.59,1.7,89.8
01603,2,0.3,0.61,2.14,3.5,89.9
01604,3,0.32,0.64,2.16,3.4,89.8
01606,3,0.6,1.57,2.16,1.4,90.4
01611,3,0.55,0.98,1.64,1.7,91.5
01612,3,0.69,1.21,1.83,1.5,90.4
01613,3,0.42,0.69,2.26,3.3,90.7
